Litter_Number,Treatment,Survival_Time,Tumor_Status,Sex
1,1,101,0,f
1,0,49,1,f
1,0,104,0,f
2,1,91,0,m
2,0,104,0,m
2,0,102,0,m
3,1,104,0,f
3,0,102,0,f
3,0,104,0,f
4,1,91,0,m
4,0,104,0,m
4,0,102,0,m
5,1,104,0,f
5,0,104,0,f
5,0,104,0,f
6,1,98,0,m
6,0,62,0,m
6,0,77,0,m
7,1,77,0,f
7,0,97,0,f
7,0,79,0,f
8,1,91,0,m
8,0,98,0,m
8,0,76,0,m
9,1,89,0,f
9,0,104,0,f
9,0,104,0,f
10,1,104,0,m
10,0,104,0,m
10,0,98,0,m
11,1,88,1,f
11,0,96,1,f
11,0,104,0,f
12,1,96,0,m
12,0,71,0,m
12,0,91,0,m
13,1,104,1,f
13,0,94,0,f
13,0,77,1,f
14,1,79,0,m
14,0,104,0,m
14,0,99,0,m
15,1,96,1,f
15,0,104,0,f
15,0,104,0,f
16,1,61,0,m
16,0,88,0,m
16,0,85,0,m
17,1,82,0,f
17,0,77,0,f
17,0,104,0,f
18,1,63,0,m
18,0,104,0,m
18,0,102,0,m
19,1,70,1,f
19,0,104,0,f
19,0,77,0,f
20,1,104,0,m
20,0,104,0,m
20,0,102,0,m
21,1,89,1,f
21,0,91,0,f
21,0,90,0,f
22,1,104,0,m
22,0,80,0,m
22,0,92,0,m
23,1,91,0,f
23,0,70,0,f
23,0,92,0,f
24,1,104,0,m
24,0,104,0,m
24,0,101,0,m
25,1,39,1,f
25,0,45,0,f
25,0,50,1,f
26,1,104,0,m
26,0,53,0,m
26,0,102,0,m
27,1,103,1,f
27,0,69,0,f
27,0,91,0,f
28,1,65,0,m
28,0,104,0,m
28,0,91,0,m
29,1,93,0,f
29,0,104,0,f
29,0,103,0,f
30,1,86,0,m
30,0,104,0,m
30,0,75,0,m
31,1,85,0,f
31,0,72,0,f
31,0,104,0,f
32,1,104,0,m
32,0,100,0,m
32,0,102,0,m
33,1,104,0,f
33,0,63,0,f
33,0,104,0,f
34,1,95,0,m
34,0,104,0,m
34,0,95,0,m
35,1,104,0,f
35,0,104,0,f
35,0,74,0,f
36,1,104,0,m
36,0,104,0,m
36,0,102,0,m
37,1,81,0,f
37,0,104,0,f
37,0,69,0,f
38,1,104,0,m
38,0,93,0,m
38,0,80,0,m
39,1,67,1,f
39,0,104,0,f
39,0,68,1,f
40,1,92,0,m
40,0,98,0,m
40,0,83,0,m
41,1,104,0,f
41,0,104,0,f
41,0,104,0,f
42,1,104,0,m
42,0,89,0,m
42,0,89,0,m
43,1,104,0,f
43,0,104,0,f
43,0,104,0,f
44,1,63,0,m
44,0,32,0,m
44,0,51,0,m
45,1,104,0,f
45,0,83,0,f
45,0,40,1,f
46,1,104,0,m
46,0,98,0,m
46,0,78,0,m
47,1,87,0,f
47,0,104,0,f
47,0,104,0,f
48,1,104,0,m
48,0,104,0,m
48,0,102,0,m
49,1,104,0,f
49,0,104,0,f
49,0,104,0,f
50,1,87,0,m
50,0,104,0,m
50,0,94,0,m
51,1,89,0,f
51,0,104,0,f
51,0,104,0,f
52,1,104,0,m
52,0,104,0,m
52,0,102,0,m
53,1,78,0,f
53,0,104,0,f
53,0,104,0,f
54,1,104,0,m
54,0,91,0,m
54,0,102,0,m
55,1,104,0,f
55,0,81,1,f
55,0,64,1,f
56,1,90,0,m
56,0,104,0,m
56,0,55,0,m
57,1,86,1,f
57,0,55,1,f
57,0,94,0,f
58,1,91,0,m
58,0,104,0,m
58,0,102,0,m
59,1,34,1,f
59,0,104,0,f
59,0,54,1,f
60,1,104,0,m
60,0,104,0,m
60,0,102,0,m
61,1,76,0,f
61,0,87,0,f
61,0,74,0,f
62,1,23,0,m
62,0,104,0,m
62,0,102,0,m
63,1,103,1,f
63,0,73,1,f
63,0,84,1,f
64,1,104,0,m
64,0,71,1,m
64,0,90,0,m
65,1,102,1,f
65,0,104,0,f
65,0,80,0,f
66,1,87,0,m
66,0,51,0,m
66,0,102,0,m
67,1,80,1,f
67,0,104,0,f
67,0,73,0,f
68,1,104,0,m
68,0,83,0,m
68,0,102,0,m
69,1,45,1,f
69,0,79,0,f
69,0,104,0,f
70,1,104,0,m
70,0,104,0,m
70,0,96,0,m
71,1,94,1,f
71,0,104,0,f
71,0,104,0,f
72,1,67,0,m
72,0,84,0,m
72,0,94,0,m
73,1,104,0,f
73,0,104,0,f
73,0,104,0,f
74,1,104,0,m
74,0,104,0,m
74,0,99,0,m
75,1,104,0,f
75,0,101,1,f
75,0,94,0,f
76,1,104,0,m
76,0,94,0,m
76,0,102,0,m
77,1,76,0,f
77,0,84,1,f
77,0,78,1,f
78,1,104,0,m
78,0,103,0,m
78,0,102,0,m
79,1,80,1,f
79,0,81,1,f
79,0,76,0,f
80,1,51,0,m
80,0,104,0,m
80,0,91,0,m
81,1,72,1,f
81,0,95,0,f
81,0,104,0,f
82,1,102,0,m
82,0,98,0,m
82,0,102,0,m
83,1,73,1,f
83,0,104,0,f
83,0,66,1,f
84,1,88,0,m
84,0,54,0,m
84,0,39,0,m
85,1,92,1,f
85,0,104,0,f
85,0,102,1,f
86,1,67,0,m
86,0,84,0,m
86,0,54,0,m
87,1,104,0,f
87,0,98,0,f
87,0,73,0,f
88,1,104,0,m
88,0,104,0,m
88,0,87,0,m
89,1,55,0,f
89,0,104,0,f
89,0,104,0,f
90,1,81,0,m
90,0,82,0,m
90,0,102,0,m
91,1,49,0,f
91,0,83,0,f
91,0,77,0,f
92,1,94,0,m
92,0,104,0,m
92,0,102,0,m
93,1,89,1,f
93,0,104,0,f
93,0,104,0,f
94,1,104,0,m
94,0,89,0,m
94,0,77,0,m
95,1,88,0,f
95,0,79,0,f
95,0,99,0,f
96,1,104,0,m
96,0,69,0,m
96,0,102,0,m
97,1,103,1,f
97,0,91,0,f
97,0,104,0,f
98,1,104,0,m
98,0,75,1,m
98,0,64,0,m
99,1,104,0,f
99,0,104,0,f
99,0,79,1,f
100,1,92,0,m
100,0,104,0,m
100,0,102,0,m
