,Predicted_Adjusted
1,0
2,0
3,0
4,1
5,1
6,0
7,1
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,1
16,0
17,0
18,0
19,1
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,1
42,0
43,0
44,0
45,0
46,1
47,0
48,1
49,0
50,1
51,0
52,1
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,1
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,1
76,0
77,0
78,1
79,0
80,0
81,0
82,0
83,0
84,1
85,0
86,0
87,0
88,0
89,0
90,0
91,1
92,0
93,0
94,1
95,1
96,0
97,0
98,0
99,0
100,1
101,0
102,0
103,1
104,0
105,1
106,0
107,0
108,0
109,0
110,0
111,0
112,0
113,1
114,0
115,0
116,0
117,0
118,0
119,1
120,0
121,0
122,0
123,0
124,0
125,1
126,0
127,0
128,1
129,0
130,0
131,0
132,0
133,1
134,0
135,0
136,0
137,0
138,0
139,0
140,0
141,0
142,0
143,0
144,0
145,0
146,1
147,0
148,0
149,1
150,0
151,1
152,0
153,0
154,0
155,1
156,0
157,0
158,0
159,0
160,0
161,0
162,0
163,0
164,0
165,1
166,0
167,0
168,1
169,0
170,0
171,0
172,0
173,0
174,0
175,0
176,0
177,0
178,1
179,1
180,0
181,0
182,0
183,0
184,0
185,0
186,0
187,0
188,1
189,0
190,0
191,0
192,0
193,0
194,0
195,0
196,0
197,0
198,0
199,0
200,0
201,0
202,0
203,0
204,0
205,0
206,1
207,0
208,0
209,1
210,0
211,0
212,0
213,0
214,1
215,0
216,0
217,0
218,0
219,0
220,0
221,0
222,0
223,0
224,0
225,0
226,0
227,0
228,0
229,0
230,0
231,0
232,0
233,0
234,0
235,0
236,1
237,1
238,0
239,0
240,1
241,0
242,0
243,0
244,1
245,1
246,0
247,0
248,1
249,0
250,0
251,0
252,0
253,0
254,0
255,0
256,0
257,0
258,0
259,0
260,1
261,0
262,0
263,0
264,0
265,0
266,0
267,0
268,0
269,0
270,1
271,0
272,0
273,0
274,0
275,1
276,1
277,0
278,1
279,0
280,1
281,1
282,0
283,0
284,0
285,0
286,0
287,0
288,0
289,0
290,0
291,1
292,0
293,0
294,0
295,0
296,0
297,1
298,0
299,0
300,0
301,1
302,0
303,0
304,1
305,0
306,0
307,0
308,0
309,0
310,0
311,1
312,0
313,0
314,0
315,0
316,0
317,0
318,0
319,0
320,1
321,0
322,0
323,0
324,1
325,0
326,0
327,0
328,0
329,0
330,1
331,0
332,0
333,0
334,0
335,0
336,0
337,0
338,0
339,1
340,0
341,1
342,0
343,0
344,0
345,0
346,0
347,0
348,0
349,0
350,0
351,0
352,0
353,0
354,0
355,0
356,0
357,0
358,0
359,0
360,0
361,0
362,0
363,0
364,0
365,0
366,0
367,1
368,0
369,0
370,1
371,0
372,0
373,0
374,0
375,0
376,0
377,0
378,0
379,0
380,0
381,0
382,0
383,1
384,0
385,0
386,0
387,0
388,0
389,0
390,0
391,0
392,1
393,0
394,0
395,0
396,0
397,0
398,1
399,0
400,0
401,0
402,0
403,0
404,0
405,0
406,0
407,0
408,1
409,0
410,0
411,0
412,0
413,0
414,0
415,1
416,0
417,0
418,1
419,1
420,1
421,0
422,0
423,0
424,1
425,0
426,0
427,0
428,0
429,0
430,0
431,1
432,0
433,0
434,0
435,0
436,0
437,0
438,0
439,0
440,1
441,1
442,0
443,1
444,1
445,0
446,0
447,0
448,0
449,0
450,0
451,1
452,0
453,0
454,1
455,1
456,0
457,1
458,0
459,1
460,0
461,0
462,0
463,0
464,0
465,0
466,1
467,0
468,0
469,0
470,0
471,0
472,1
473,0
474,1
475,0
476,0
477,0
478,0
479,0
480,0
481,1
482,1
483,0
484,0
485,0
486,0
487,0
488,0
489,0
490,1
491,0
492,0
493,1
494,0
495,0
496,0
497,0
498,0
499,0
500,0
501,0
502,0
503,0
504,0
505,1
506,0
507,0
508,0
509,0
510,0
511,0
512,0
513,0
514,0
515,1
516,1
517,0
518,0
519,0
520,0
521,0
522,0
523,0
524,0
525,0
526,0
527,0
528,1
529,0
530,0
531,0
532,0
533,0
534,0
535,0
536,0
537,0
538,1
539,0
540,1
541,0
542,0
543,1
544,0
545,0
546,0
547,0
548,0
549,0
550,0
551,0
552,1
553,0
554,0
555,1
556,0
557,0
558,1
559,1
560,0
561,0
562,1
563,0
564,0
565,0
566,0
567,0
568,0
569,0
570,0
571,1
572,0
573,0
574,0
575,0
576,0
577,0
578,0
579,0
580,0
581,0
582,0
583,0
584,0
585,0
586,1
587,0
588,0
589,0
590,1
591,0
592,0
593,1
594,0
595,0
596,0
597,1
598,0
599,0
600,0
601,1
602,0
603,0
604,0
605,1
606,0
607,0
608,0
609,0
610,0
611,1
612,0
613,0
614,0
615,0
616,0
617,1
618,0
619,0
620,0
621,0
622,0
623,0
624,0
625,0
626,0
627,0
628,0
629,0
630,0
631,0
632,0
633,0
634,1
635,0
636,0
637,0
638,0
639,0
640,0
641,0
642,1
643,0
644,0
645,0
646,1
647,0
648,0
649,1
650,1
651,0
652,0
653,0
654,0
655,0
656,0
657,0
658,0
659,1
660,0
661,1
662,0
663,0
664,0
665,1
666,0
667,0
668,0
669,0
670,1
671,0
672,0
673,0
674,1
675,0
676,0
677,0
678,0
679,0
680,0
681,0
682,0
683,0
684,0
685,0
686,0
687,0
688,0
689,0
690,0
691,0
692,0
693,1
694,0
695,0
696,0
697,0
698,0
699,0
700,0
701,1
702,1
703,0
704,0
705,0
706,1
707,1
708,1
709,0
710,0
711,0
712,0
713,0
714,0
715,0
716,0
717,0
718,1
719,1
720,0
721,1
722,0
723,0
724,0
725,0
726,0
727,0
728,0
729,0
730,1
731,0
732,1
733,0
734,0
735,1
736,1
737,0
738,0
739,0
740,0
741,0
742,0
743,0
744,0
745,0
746,0
747,1
748,1
749,0
750,0
751,0
752,0
753,0
754,0
755,0
756,0
757,1
758,1
759,0
760,0
761,0
762,0
763,0
764,0
765,1
766,1
767,0
768,0
769,0
770,0
771,0
772,0
773,0
774,0
775,0
776,0
777,1
778,0
779,0
780,0
781,1
782,1
783,0
784,0
785,0
786,0
787,0
788,0
789,0
790,0
791,1
792,0
793,0
794,0
795,0
796,0
797,0
798,0
799,0
800,0
801,0
802,1
803,0
804,0
805,0
806,0
807,0
808,0
809,0
810,0
811,0
812,0
813,0
814,0
815,0
816,0
817,0
818,0
819,0
820,0
821,0
822,0
823,0
824,0
825,1
826,0
827,0
828,1
829,0
830,0
831,0
832,0
833,1
834,0
835,1
836,1
837,0
838,0
839,0
840,0
841,0
842,0
843,1
844,1
845,0
846,1
847,0
848,1
849,1
850,1
851,0
852,0
853,1
854,0
855,0
856,1
857,0
858,0
859,0
860,0
861,0
862,0
863,0
864,0
865,0
866,0
867,0
868,0
869,0
870,0
871,0
872,0
873,0
874,0
875,0
876,0
877,1
878,1
879,0
880,1
881,0
882,1
883,0
884,0
885,0
886,0
887,0
888,1
889,0
890,0
891,0
892,1
893,0
894,0
895,0
896,0
897,0
898,0
899,0
900,0
901,1
902,0
903,1
904,0
905,0
906,0
907,0
908,0
909,0
910,0
911,1
912,1
913,0
914,0
915,1
916,0
917,0
918,0
919,0
920,0
921,0
922,0
923,0
924,0
925,0
926,0
927,1
928,0
929,0
930,0
931,0
932,0
933,0
934,0
935,1
936,0
937,0
938,1
939,0
940,1
941,0
942,0
943,1
944,0
945,0
946,0
947,0
948,0
949,1
950,0
951,0
952,1
953,0
954,0
955,0
956,0
957,0
958,0
959,0
960,0
961,0
962,0
963,1
964,0
965,0
966,0
967,0
968,1
969,0
970,0
971,0
972,1
973,0
974,1
975,0
976,1
977,1
978,0
979,0
980,0
981,0
982,1
983,1
984,0
985,0
986,0
987,0
988,0
989,0
990,0
991,0
992,0
993,0
994,1
995,0
996,0
997,0
998,0
999,1
1000,0
1001,0
1002,1
1003,0
1004,0
1005,1
1006,0
1007,0
1008,1
1009,0
1010,0
1011,0
1012,0
1013,0
1014,0
1015,0
1016,0
1017,0
1018,1
1019,1
1020,1
1021,0
1022,0
1023,1
1024,0
1025,0
1026,0
1027,0
1028,1
1029,0
1030,0
1031,0
1032,0
1033,0
1034,0
1035,0
1036,0
1037,0
1038,0
1039,0
1040,0
1041,0
1042,1
1043,1
1044,0
1045,1
1046,0
1047,0
1048,0
1049,0
1050,0
1051,0
1052,0
1053,0
1054,0
1055,0
1056,0
1057,0
1058,0
1059,0
1060,1
1061,1
1062,0
1063,1
1064,0
1065,0
1066,0
1067,0
1068,0
1069,1
1070,0
1071,0
1072,0
1073,0
1074,1
1075,0
1076,0
1077,0
1078,0
1079,0
1080,1
1081,0
1082,0
1083,0
1084,0
1085,1
1086,0
1087,0
1088,0
1089,0
1090,0
1091,0
1092,0
1093,0
1094,0
1095,0
1096,0
1097,1
1098,0
1099,0
1100,0
1101,0
1102,0
1103,0
1104,0
1105,0
1106,1
1107,1
1108,0
1109,0
1110,0
1111,0
1112,0
1113,0
1114,0
1115,1
1116,0
1117,1
1118,0
1119,1
1120,0
1121,0
1122,0
1123,0
1124,0
1125,0
1126,0
1127,0
1128,0
1129,0
1130,0
1131,0
1132,0
1133,0
1134,0
1135,0
1136,0
1137,0
1138,0
1139,0
1140,0
1141,0
1142,0
1143,1
1144,0
1145,0
1146,0
1147,0
1148,0
1149,0
1150,0
1151,1
1152,0
1153,0
1154,0
1155,0
1156,0
1157,0
1158,1
1159,1
1160,0
1161,0
1162,0
1163,0
1164,0
1165,1
1166,0
1167,0
1168,0
1169,0
1170,0
1171,0
1172,0
1173,1
1174,0
1175,0
1176,0
1177,0
1178,1
1179,0
1180,0
1181,0
1182,0
1183,0
1184,0
1185,0
1186,0
1187,0
1188,0
1189,0
1190,0
1191,0
1192,0
1193,0
1194,0
1195,0
1196,1
1197,1
1198,1
1199,0
1200,1
1201,0
1202,0
1203,0
1204,0
1205,0
1206,0
1207,1
1208,0
1209,0
1210,0
1211,0
1212,0
1213,0
1214,0
1215,1
1216,1
1217,0
1218,0
1219,0
1220,0
1221,1
1222,0
1223,0
1224,0
1225,0
1226,0
1227,0
1228,0
1229,1
1230,0
1231,0
1232,1
1233,0
1234,0
1235,0
1236,0
1237,0
1238,0
1239,0
1240,0
1241,0
1242,0
1243,0
1244,1
1245,0
1246,0
1247,1
1248,0
1249,0
1250,0
1251,1
1252,0
1253,1
1254,0
1255,0
1256,0
1257,0
1258,0
1259,0
1260,0
1261,0
1262,0
1263,0
1264,0
1265,0
1266,0
1267,0
1268,0
1269,0
1270,0
1271,1
1272,0
1273,0
1274,0
1275,0
1276,0
1277,0
1278,0
1279,0
1280,0
1281,0
1282,0
1283,0
1284,0
1285,0
1286,1
1287,0
1288,0
1289,0
1290,0
1291,0
1292,0
1293,0
1294,0
1295,0
1296,0
1297,1
1298,0
1299,0
1300,0
1301,0
1302,0
1303,0
1304,0
1305,0
1306,0
1307,0
1308,0
1309,0
1310,0
1311,0
1312,0
1313,1
1314,0
1315,0
1316,0
1317,0
1318,0
1319,1
1320,0
1321,0
1322,0
1323,0
1324,1
1325,0
1326,1
1327,0
1328,0
1329,0
1330,0
1331,0
1332,0
1333,0
1334,0
1335,0
1336,0
1337,0
1338,0
1339,0
1340,0
1341,0
1342,0
1343,1
1344,0
1345,1
1346,0
1347,0
1348,0
1349,0
1350,1
1351,0
1352,0
1353,0
1354,0
1355,0
1356,0
1357,0
1358,0
1359,0
1360,0
1361,0
1362,0
1363,0
1364,0
1365,0
1366,0
1367,0
1368,0
1369,0
1370,0
1371,0
1372,0
1373,1
1374,0
1375,0
1376,1
1377,0
1378,1
1379,0
1380,0
1381,0
1382,0
1383,0
1384,0
1385,0
1386,0
1387,0
1388,0
1389,1
1390,0
1391,0
1392,0
1393,0
1394,0
1395,0
1396,0
1397,0
1398,0
1399,0
1400,1
1401,0
1402,0
1403,0
1404,0
1405,0
1406,0
1407,0
1408,1
1409,0
1410,0
1411,0
1412,0
1413,0
1414,0
1415,0
1416,0
1417,0
1418,0
1419,0
1420,0
1421,0
1422,0
1423,0
1424,0
1425,0
1426,1
1427,0
1428,0
1429,0
1430,0
1431,0
1432,0
1433,0
1434,0
1435,0
1436,1
1437,0
1438,0
1439,0
1440,0
1441,1
1442,1
1443,1
1444,1
1445,0
1446,0
1447,0
1448,0
1449,0
1450,0
1451,1
1452,0
1453,0
1454,0
1455,0
1456,0
1457,1
1458,1
1459,0
1460,0
1461,0
1462,1
1463,0
1464,0
1465,0
1466,0
1467,0
1468,0
1469,0
1470,0
1471,1
1472,0
1473,0
1474,0
1475,0
1476,0
1477,0
1478,0
1479,0
1480,0
1481,1
1482,0
1483,0
1484,0
1485,0
1486,0
1487,1
1488,0
1489,0
1490,0
1491,0
1492,0
1493,0
1494,0
1495,0
1496,0
1497,0
1498,0
1499,0
1500,0
1501,0
1502,0
1503,1
1504,0
1505,0
1506,0
1507,0
1508,0
1509,0
1510,0
1511,0
1512,1
1513,0
1514,0
1515,0
1516,0
1517,0
1518,0
1519,0
1520,0
1521,0
1522,0
1523,0
1524,1
1525,0
1526,0
1527,0
1528,0
1529,0
1530,0
1531,0
1532,0
1533,0
1534,0
1535,1
1536,0
1537,0
1538,0
1539,1
1540,0
1541,1
1542,0
1543,0
1544,0
1545,0
1546,0
1547,1
1548,0
1549,0
1550,0
1551,0
1552,0
1553,0
1554,0
1555,0
1556,0
1557,1
1558,0
1559,0
1560,0
1561,0
1562,0
1563,0
1564,0
1565,0
1566,0
1567,0
1568,0
1569,0
1570,0
1571,0
1572,1
1573,0
1574,0
1575,0
1576,0
1577,0
1578,0
1579,0
1580,0
1581,0
1582,0
1583,0
1584,0
1585,0
1586,0
1587,0
1588,0
1589,0
1590,1
1591,0
1592,0
1593,1
1594,0
1595,0
1596,0
1597,0
1598,0
1599,0
1600,0
1601,0
1602,0
1603,0
1604,0
1605,0
1606,0
1607,0
1608,0
1609,0
1610,0
1611,0
1612,0
1613,0
1614,0
1615,0
1616,0
1617,0
1618,1
1619,0
1620,0
1621,0
1622,0
1623,0
1624,0
1625,0
1626,0
1627,1
1628,0
1629,0
1630,0
1631,0
1632,0
1633,0
1634,0
1635,0
1636,0
1637,1
1638,1
1639,0
1640,0
1641,1
1642,0
1643,0
1644,0
1645,1
1646,0
1647,1
1648,0
1649,0
1650,0
1651,0
1652,0
1653,0
1654,0
1655,0
1656,0
1657,0
1658,0
1659,0
1660,1
1661,0
1662,0
1663,0
1664,0
1665,0
1666,0
1667,0
1668,0
1669,1
1670,0
1671,0
1672,0
1673,1
1674,0
1675,0
1676,0
1677,0
1678,0
1679,0
1680,0
1681,0
1682,0
1683,0
1684,1
1685,0
1686,0
1687,0
1688,0
1689,0
1690,0
1691,0
1692,0
1693,1
1694,0
1695,1
1696,0
1697,0
1698,0
1699,1
1700,0
1701,0
1702,0
1703,0
1704,0
1705,0
1706,0
1707,0
1708,0
1709,0
1710,0
1711,0
1712,1
1713,1
1714,1
1715,0
1716,0
1717,0
1718,0
1719,1
1720,0
1721,0
1722,0
1723,0
1724,0
1725,0
1726,1
1727,0
1728,0
1729,0
1730,0
1731,0
1732,0
1733,0
1734,0
1735,1
1736,0
1737,0
1738,0
1739,0
1740,0
1741,1
1742,1
1743,0
1744,0
1745,1
1746,0
1747,0
1748,0
1749,0
1750,0
1751,0
1752,1
1753,0
1754,1
1755,0
1756,0
1757,0
1758,0
1759,0
1760,0
1761,0
1762,1
1763,0
1764,0
1765,0
1766,1
1767,1
1768,0
1769,0
1770,1
1771,0
1772,0
1773,0
1774,0
1775,1
1776,0
1777,0
1778,0
1779,0
1780,0
1781,0
1782,0
1783,0
1784,0
1785,0
1786,0
1787,0
1788,0
1789,1
1790,0
1791,0
1792,0
1793,0
1794,0
1795,0
1796,1
1797,0
1798,0
1799,0
1800,0
1801,0
1802,0
1803,0
1804,0
1805,0
1806,0
1807,0
1808,0
1809,0
1810,0
1811,1
1812,0
1813,0
1814,0
1815,0
1816,0
1817,0
1818,0
1819,1
1820,0
1821,0
1822,0
1823,0
1824,0
1825,0
1826,0
1827,0
1828,0
1829,0
1830,0
1831,0
1832,0
1833,0
1834,0
1835,1
1836,0
1837,0
1838,1
1839,0
1840,0
1841,0
1842,0
1843,0
1844,1
1845,0
1846,0
1847,0
1848,0
1849,0
1850,0
1851,0
1852,1
1853,0
1854,0
1855,0
1856,0
1857,0
1858,0
1859,0
